t,y
0.000000000000000000e+00,2.000000000000000111e-01
8.000000000000000444e-01,8.199999999999999512e-01
1.600000000000000089e+00,1.050000000000000044e+00
2.399999999999999911e+00,8.399999999999999689e-01
3.200000000000000178e+00,3.499999999999999778e-01
4.000000000000000000e+00,-1.799999999999999933e-01
4.799999999999999822e+00,-6.199999999999999956e-01
5.599999999999999645e+00,-4.799999999999999822e-01
6.400000000000000355e+00,2.000000000000000042e-02
7.200000000000000178e+00,7.399999999999999911e-01
8.000000000000000000e+00,1.100000000000000089e+00
8.800000000000000711e+00,8.800000000000000044e-01
9.599999999999999645e+00,4.099999999999999756e-01
