"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
-4.07,-8.445,-74.96,40,-86.21,-22.17,-44.79,114.8,1.816,-41.8,150.7,36.57,25.61,-55.53,90.51,-1.949,24.47,-122.8,31.11,NA,50.32,83.86,143.9,-14.66,98.87,105.5,50,-6.081,2.6,-0.66,-3.74,-0.69,-1.55
-118.6,-107.4,-92.12,-10,-125,35,70.47,84.67,-113.5,12.99,55,35.61,127.3,78.7,-60.01,44.7,-54.83,-11.41,15.54,74.51,-147.7,-111.3,-43.44,-42.87,15.27,0.07583,40,-87.84,3.61,-3.17,3.93,3.37,3.27
186,186,-35.93,250,-30,-106.8,-116.8,10.54,86.25,-142.6,9.784,139.1,-60.51,-147.7,98.8,-102.5,-82.53,96.44,-90.08,-239.3,139,156.9,16.68,19,-40.81,-47.21,260,148.3,3.66,3.42,3.68,-0.18,-2
-151.7,-140,-67.13,-70,-222.2,197.4,149.7,15.31,-122.6,177.4,73.93,-121.6,124.9,-52.82,-185,211.3,65.55,-107.7,147.8,10.8,-95.06,77.84,-123.6,143.7,-5.497,100.8,20,-122.6,0.52,2.25,-4.27,-0.65,-4.3
57.56,54.42,2.003,90,-58.82,-107.9,-88.01,5.764,1.816,-48,22.4,-42.99,59.1,33.96,-28.25,-71.02,135.3,NA,28.88,-1,-96.57,-76.44,-29.95,-43.19,26.7,-155,110,50.68,3.26,3.97,-2.59,-2.03,-2.08
-109.9,-99.81,-96.45,-50,-175,94.46,63.27,92.74,-218.8,51.24,67.62,-69.83,130.9,52.94,-140.8,62.27,95.16,-113,88.92,83.95,-178.8,-56.24,-216.9,-123.3,-197.1,-47.6,30,-82.77,-3.38,1.89,2.28,0.24,-2.9
-158.1,-140,-157.9,-30,-113.6,80.22,95.28,-49.53,-2.21,114.9,-53.61,-36.05,83.73,-66.15,-10.55,140.3,-38.88,19.62,73.67,-7.637,-45.94,-45.03,-124.5,94.81,-91.93,79.61,50,-128.6,-3.19,-1.69,-1.09,2.02,3.14
0.6906,0.3453,-125.1,10,-96.15,0,-43.34,39.59,-40.43,9.606,152.8,-49.01,-20.37,-69.3,-36.15,14.22,162,-107,58.9,5.52,-46.36,156.7,59.14,-84.9,196.2,26.41,10,1.029,2.13,-0.7,1.48,-4.22,-1.51
-103.6,-103.1,11.54,-20,-108.7,-3.167,42.48,-54.53,-103.9,40.66,22.67,-53.33,133.5,-19.92,-63.29,97.62,36.6,3.553,104.7,-11.58,-124.1,-88.68,-183.4,-61.57,-109.2,-42.77,20,-86.08,4.17,-0.81,2.78,-2.06,1.47
-109.1,-102.6,29.33,120,-27.03,-51.72,22.67,-61.88,103.5,28.49,-51.82,-2.366,-8.297,-7.309,246.9,-99.02,-12.1,4.498,-41.56,171.3,-51.85,-195.2,16.27,-97.05,101.3,34.76,130,-82.65,-1.53,4.85,1.46,-0.09,0.22
8.287,4.144,43.57,30,-35.71,-51.72,-43.34,14,-1.397,-19.35,77.42,-3.23,-18.86,67.29,11.16,-19.89,56.08,-91.87,55.95,85.78,78.31,-3.034,36.45,-76.36,-41.12,90.38,60,2.401,0.77,1.84,-1.83,-1.78,-3.79
88.4,92.28,-14.26,90,-58.82,-111.9,-76.34,57.54,-34.74,-54.18,54.08,-85.29,139.5,6.35,20.47,-36.95,-21.84,-101.3,-22.35,41.04,92.26,53.85,-36.68,-14.59,29.8,-101.9,110,75.79,1.35,3.04,0.6,-1.63,0.99
-95,-94.8,-11.31,-30,-181.8,108.6,52.79,74.46,-91.09,125.7,-19.67,-78.67,56.28,-0.4352,-94.25,110.9,11.26,9.416,37.8,2.367,-73.1,16.86,-104.9,NA,-19.83,19.46,10,-83.21,-0.16,4.92,2.45,2.73,-0.39
86.43,83.75,2.724,100,-71.43,-93.35,-98.08,81.98,-48.93,-64.38,27.01,6.8,39.52,37.1,12.65,-43.4,16.28,-2.905,-45.42,39.57,-37.89,-73.88,-58.44,-151,22.45,-140.1,110,66.28,-0.34,-4.44,2.36,3.1,0.04
-92.86,-93.73,-108.2,-10,-104.2,11.05,67.16,-30.79,-77.72,35.66,91.56,-141.4,208.5,30.85,-148.2,76.65,88.44,-64.51,185.3,35.44,-74.7,-5.381,-192.8,-26.49,-12.02,-103.4,60,-82.49,3.28,-2.75,-2.58,0.09,3.84
207.1,191.4,61.99,250,20,-113.8,-119.6,-172.5,136.2,-79.31,-256,70.45,-108.5,-130.6,119.6,-73.95,-198.2,16.05,-68.12,-183.7,-26.15,23.93,84.53,-26.49,85.41,-81.77,240,110.6,-0.76,-3.66,-4.08,3.29,-1.09
-140.7,-127.8,-44.51,-50,-150,121.1,95.9,-73.77,65.21,142.7,-46.48,-47.76,-2.368,-124.3,-13.85,148.5,-60.9,28.37,30.23,-85.83,-50.69,-8.205,-5.439,175.4,21.53,90.95,0,-106.3,1.45,-3.3,-4.42,-0.9,0.39
0,0,-0.1042,10,-57.69,-7.105,-40.61,63.09,11.74,-3.657,105.5,18.62,19.97,-7.943,-16.59,-36.97,8.258,-100.5,6.277,61.62,81.61,6.977,91.1,10.3,6.364,62.74,50,-4.683,-1.41,-3.54,-1.94,4.94,4.82
81.04,79.81,-69.17,100,-114.3,-28.78,-83.45,119.6,-128.7,-50.49,94.12,-78.93,40.58,23.47,-53.14,-50.01,125.3,-93.68,-20.89,8.093,9.478,71.35,-42.23,-194.7,32.8,-81.85,150,66.54,-3.74,3.72,-4.37,2.5,1.8
-97.86,-95.36,-70.18,40,-120.7,57.41,41.87,-50.91,73.8,116.8,15.92,-71.05,79.39,-31.24,-72,78.32,100.8,-5.934,142.4,-13.64,-50.63,20.17,-4.118,44.72,135.1,57.92,60,-77.82,0.29,4.58,3.5,-2.82,2.59
-104.7,-102.4,-43.68,-50,-175,65.79,68.25,12.86,-149.3,66.73,79.15,-151.6,165.3,74.53,-150.8,119.4,74.99,-94.56,189.6,128.3,-128,77.48,-171.4,-67.04,8.625,-83.3,-10,-78.57,1.23,2.56,0.94,-0.5,1.5
215.6,225.7,-86.6,250,-20,-73.08,-109.8,-42.18,68.86,-138.3,-171.3,190,-154.8,-201.4,66.73,-136.2,-181.7,49.02,-68.12,-280.2,-66.66,210.9,84.31,51.07,56.11,-17.03,250,188,-1.89,-2.48,-0.59,0,0.56
-14.53,-14.41,12.51,60,-64.52,27.48,-24.09,119,19.46,10.96,148.2,-7.979,-2.38,45.35,29.69,3.629,77.57,-83.04,37.14,74.73,45.94,87.1,146.1,-20.86,94.53,91.23,90,-16.54,-0.69,-4.43,1.83,4.99,2.12
-140.7,-127.5,-4.548,-120,-346.2,171.1,101.2,141.9,-172.4,141.6,39.21,-63.16,152.8,-111.5,-56.51,181.1,-29.5,-27.2,51.99,-77.37,-104.7,58.23,-126.1,151.6,-79.44,100.6,-40,-109,0.45,2.01,-1.62,2.94,-0.8
208.7,161.5,38.25,-100,-166.7,-12.02,-83.45,53.06,-144.4,-105.7,-169.6,2.533,73.85,35.63,-264.6,-104.6,78.86,-92.79,157.3,-342.5,-269.4,41.61,-22.03,46.13,-48.79,26.78,-50,75.94,0.22,-2.47,4.97,0.55,-3.42
-20.64,-13.89,65.21,-20,-65.22,-21.6,-63.66,-47.12,12.87,19.74,54.19,32.32,8.708,-83.52,-90.86,27.19,148.5,1.156,120.8,-35.36,-33.4,-19.64,138.8,-14.86,112.7,81.09,40,-13.16,3.26,-3.47,-1.6,-4.53,-4.55
73.39,75.98,-63.05,90,-58.82,-130.5,-96.64,-23.89,-12.65,-36.04,-28.18,-78.05,-50.89,-23.94,22.28,-82.09,2.748,-87.47,-14.14,13.89,82.81,56.04,-19.75,-105.8,100.1,-142.7,NA,59.77,2.88,-0.66,3.99,-2.45,-0.94
5.365,2.682,-13.4,80,-45.45,-37.01,-28.06,69.48,64.26,-43.89,81,38.69,-60.73,-6.755,105.5,-34.59,62.37,-2.332,-17.29,91.07,94.69,22.17,208.1,-32.39,124,45.42,80,1.316,0.8,1.66,-0.52,0.22,-3.16
8.584,10.7,-20.47,30,-53.57,0.7545,-35.11,23.75,88.89,-6.637,119.9,21.81,-31.7,-79.56,96.45,-41.68,165.3,-17.16,88.99,113.1,75.85,107.4,177.4,13.44,137.2,55.85,50,6.579,-2.56,2.72,3.58,4.63,-2.18
-91.74,-87.54,-37.82,-20,-195.7,38.52,28.36,91.27,-160.2,49.97,13.05,-29.57,80.92,45.25,-28.33,34.75,110.6,-11.05,106.9,85.98,-102.7,-90.46,-152.5,-77.22,-18.9,5.116,10,-66.78,NA,-1.86,4.52,-4.25,-4.92
244.6,215.3,44.8,-120,-230.8,-135,-119.7,15.46,-7.814,-53.57,-161,-19.29,-68.86,-174.5,37.53,-14.38,-180.6,-38.09,-104.6,-226,-12.51,39.5,28.18,41.34,-40.29,-74.76,-120,111.8,-0.68,-2.7,1.94,-1.56,0.82
-97.64,-90.49,-49.26,10,-173.1,20.15,35.42,30.17,-66.2,55.78,32.9,-68.47,139,37.45,-16.55,75.15,NA,-65.13,125.8,43.6,-141.2,-54.84,-177.7,-48.99,-55.77,-92.76,20,-67.43,4.2,-3.12,1.37,3.74,0.55
