age,job,marital,education,X2,X4,X3,X1,device,day,month,time_spent,banner_views,days_elapsed_old,banner_views_old,outcome_old,y
36,technician,single,tertiary,0,0,0,0,unknown,17,jun,153,4,368.0,0,unknown,0
56,entrepreneur,married,secondary,0,196,0,0,cellular,19,nov,312,3,348.0,0,unknown,0
46,blue-collar,married,secondary,0,0,1,0,unknown,5,jun,83,2,370.0,0,unknown,0
41,management,divorced,tertiary,0,3426,0,0,cellular,1,oct,302,1,119.0,5,success,0
38,blue-collar,married,secondary,0,0,1,0,unknown,20,may,90,1,351.0,0,unknown,0
33,technician,divorced,tertiary,0,839,1,0,unknown,28,may,469,3,371.0,0,unknown,0
43,admin.,married,secondary,0,429,1,0,unknown,27,may,222,4,357.0,0,unknown,0
61,retired,married,secondary,0,938,0,0,cellular,15,oct,212,2,92.0,5,success,0
36,management,married,tertiary,0,2415,1,0,telephone,22,oct,73,1,86.0,4,other,1
47,housemaid,married,secondary,0,1152,0,0,telephone,7,jul,260,13,350.0,0,unknown,0
26,management,single,tertiary,0,222,0,0,cellular,26,oct,318,1,120.0,3,success,0
55,management,married,tertiary,0,740,0,0,cellular,25,aug,57,3,368.0,0,unknown,0
46,unknown,married,primary,0,110,0,0,unknown,19,jun,113,14,345.0,0,unknown,0
32,technician,single,secondary,0,0,0,0,cellular,22,aug,114,2,436.0,0,unknown,1
46,technician,married,secondary,0,278,1,0,cellular,10,jul,185,1,351.0,0,unknown,1
35,housemaid,married,secondary,0,738,1,0,cellular,5,may,81,9,364.0,0,unknown,0
30,blue-collar,single,secondary,0,953,1,0,unknown,2,jun,747,2,369.0,0,unknown,0
31,management,single,tertiary,0,924,0,0,cellular,27,feb,172,1,347.0,0,unknown,1
47,blue-collar,married,primary,0,643,1,0,unknown,20,jun,18,6,391.0,0,unknown,1
44,services,married,primary,0,3,1,0,cellular,7,may,228,1,373.0,0,unknown,1
29,student,single,secondary,0,808,0,0,cellular,29,jun,189,1,362.0,1,other,1
28,technician,single,tertiary,0,3623,0,0,cellular,3,jun,138,2,85.0,1,success,0
57,retired,divorced,tertiary,0,2516,1,0,unknown,15,may,1036,1,366.0,0,unknown,1
28,student,single,unknown,0,78,0,0,cellular,4,dec,232,3,310.0,2,failure,0
31,management,single,tertiary,0,147,0,0,cellular,13,sep,81,3,96.0,5,success,0
34,housemaid,married,secondary,1,0,0,0,cellular,21,aug,398,2,351.0,0,unknown,1
30,technician,single,secondary,0,0,0,0,cellular,21,aug,166,4,364.0,0,unknown,1
35,technician,single,unknown,0,0,0,0,cellular,28,jan,81,2,368.0,0,unknown,1
25,blue-collar,single,primary,0,-221,1,0,unknown,23,may,250,1,386.0,0,unknown,0
44,blue-collar,single,secondary,0,641,0,0,unknown,15,may,257,1,352.0,0,unknown,1
31,student,single,secondary,0,3511,0,0,cellular,2,jul,667,1,343.0,0,unknown,0
28,technician,single,secondary,0,126,0,0,cellular,3,mar,229,1,353.0,0,unknown,1
52,retired,married,secondary,0,0,0,0,cellular,22,aug,351,5,555.0,0,unknown,0
40,blue-collar,married,secondary,0,327,1,0,cellular,12,may,474,2,357.0,1,failure,0
38,admin.,married,secondary,0,4458,1,0,unknown,5,jun,215,1,361.0,0,unknown,1
42,blue-collar,single,primary,0,-68,1,1,unknown,26,may,167,1,348.0,0,unknown,0
32,blue-collar,married,secondary,0,34,1,0,cellular,5,may,321,2,371.0,0,unknown,0
29,blue-collar,single,secondary,0,1446,1,0,cellular,17,apr,88,3,367.0,0,unknown,1
41,admin.,divorced,secondary,0,256,0,0,unknown,19,jun,91,1,345.0,0,unknown,0
27,management,single,tertiary,0,185,0,0,cellular,31,oct,18,1,369.0,0,unknown,1
22,student,single,unknown,0,549,0,0,cellular,2,sep,154,1,343.0,0,unknown,1
26,blue-collar,single,secondary,0,658,0,1,telephone,23,jul,34,4,357.0,0,unknown,1
45,technician,married,secondary,0,-374,0,1,cellular,18,aug,149,5,772.0,0,unknown,0
30,technician,married,tertiary,0,1,0,0,cellular,29,aug,69,21,355.0,0,unknown,0
31,blue-collar,single,secondary,0,2089,1,0,unknown,20,may,34,1,346.0,0,unknown,1
40,blue-collar,married,primary,1,-23,0,1,cellular,7,jul,756,3,344.0,0,unknown,1
29,blue-collar,single,secondary,0,244,1,0,cellular,15,may,19,2,361.0,0,unknown,1
39,technician,married,tertiary,0,11766,1,0,cellular,14,aug,313,4,102.0,5,failure,0
33,unemployed,single,tertiary,0,617,0,0,cellular,2,feb,620,2,355.0,0,unknown,0
36,services,married,secondary,0,1328,1,0,unknown,6,jun,82,4,362.0,0,unknown,0
30,entrepreneur,single,secondary,0,265,1,1,unknown,3,jun,67,10,427.0,0,unknown,1
59,management,married,tertiary,0,1585,0,0,telephone,28,aug,91,5,365.0,0,unknown,0
42,admin.,divorced,secondary,0,687,1,1,unknown,23,may,229,1,391.0,0,unknown,1
39,management,married,tertiary,0,4539,0,0,cellular,30,apr,301,1,358.0,0,unknown,1
40,blue-collar,married,unknown,0,222,1,0,unknown,20,may,465,8,367.0,0,unknown,0
41,admin.,divorced,secondary,0,348,1,0,unknown,27,may,233,3,361.0,0,unknown,0
57,management,married,secondary,0,39,1,0,cellular,15,may,114,2,356.0,0,unknown,0
43,services,divorced,secondary,0,266,1,1,cellular,20,apr,79,1,152.0,1,failure,1
58,services,married,secondary,0,10,1,1,cellular,30,jul,95,5,358.0,0,unknown,1
33,management,married,tertiary,0,862,1,0,cellular,8,aug,166,3,784.0,0,unknown,0
35,technician,divorced,secondary,0,2777,1,0,cellular,7,may,633,1,349.0,0,unknown,0
30,management,single,tertiary,0,6164,1,0,unknown,27,may,152,11,363.0,0,unknown,0
39,management,married,tertiary,0,-233,1,0,cellular,19,nov,249,1,363.0,0,unknown,0
39,blue-collar,married,secondary,0,661,1,0,cellular,3,feb,84,4,267.0,4,failure,1
27,unknown,single,secondary,0,1187,0,0,telephone,26,feb,232,1,101.0,1,failure,0
31,blue-collar,married,primary,0,-464,1,1,unknown,12,may,256,4,363.0,0,unknown,0
53,unemployed,divorced,secondary,0,587,0,0,cellular,19,nov,561,1,370.0,0,unknown,0
37,technician,single,secondary,1,375,0,0,unknown,9,jun,223,2,360.0,0,unknown,1
48,services,married,secondary,0,7019,1,0,unknown,30,may,465,3,350.0,0,unknown,1
63,retired,married,primary,0,12067,0,0,telephone,29,apr,660,1,191.0,1,failure,0
27,entrepreneur,married,tertiary,0,79,1,1,cellular,13,may,201,1,369.0,3,failure,1
46,services,married,secondary,0,198,0,1,unknown,5,jun,49,1,355.0,0,unknown,1
65,retired,married,tertiary,0,1948,0,0,cellular,2,feb,102,2,360.0,0,unknown,0
34,management,married,tertiary,0,0,0,0,cellular,6,aug,139,2,363.0,0,unknown,0
37,admin.,married,secondary,0,960,0,0,telephone,18,nov,50,3,364.0,0,unknown,1
39,entrepreneur,divorced,secondary,0,990,1,0,cellular,23,jul,55,1,370.0,0,unknown,1
38,management,married,tertiary,0,238,0,0,cellular,4,may,131,1,90.0,2,success,0
52,unknown,married,unknown,0,1571,0,0,cellular,4,aug,164,1,368.0,0,unknown,0
35,admin.,married,tertiary,0,163,1,0,cellular,6,aug,126,6,343.0,0,unknown,0
38,services,divorced,secondary,0,76,1,0,cellular,17,apr,395,2,462.0,0,unknown,1
34,management,single,tertiary,0,-362,1,1,cellular,20,apr,7,6,344.0,0,unknown,0
32,admin.,divorced,secondary,0,-331,1,1,unknown,26,may,130,3,359.0,0,unknown,1
29,technician,single,secondary,0,577,1,0,cellular,18,may,18,4,535.0,0,unknown,1
30,management,married,tertiary,0,112,1,0,cellular,29,jan,464,2,258.0,1,other,0
