ID,p_hat
1,0.66
2,0.8
3,0.84
4,0.5
5,0.14
6,0.86
7,0.36
8,0.68
9,0.16
10,0.3
11,0.82
12,0.74
13,0.26
14,0.32
15,0.32
16,0.02
17,0.74
18,0.22
19,0.2
20,0.12
21,0.46
22,0.02
23,0.46
24,0.46
25,0.76
26,0.42
27,0.62
28,0.2
29,0.36
30,0.36
31,0.48
32,0.32
33,0.1
34,0.32
35,0.52
36,0.72
37,0.58
38,0.14
39,0.34
40,0.46
41,0.94
42,0.42
43,0.54
44,0.62
45,0.42
46,0.8
47,0.7
48,0.74
49,0.32
50,0.28
51,0.26
52,0.56
53,0.88
54,0.22
55,0.2
56,0.28
57,0.36
58,0.78
59,0.64
60,0.3
61,0.64
62,0.36
63,0.36
64,0.34
65,0.26
66,0.2
67,0.5
68,0.06
69,0.36
70,0.34
71,0.16
72,0.52
73,0.28
74,0.7
75,0.44
76,0.38
77,0.34
78,0.7
79,0.22
80,0.84
81,0.24
82,0.22
83,0.38
84,0.44
85,0.22
86,0.5
87,0.84
88,0.68
89,0.04
90,0.84
91,0.78
92,0.08
93,0.12
94,0.08
95,0.34
96,0.4
97,0.68
98,0.2
99,0.8
100,0.48
101,0.56
102,0.52
103,0.68
104,0.92
105,0.76
106,0.7
107,0.26
108,0.22
109,0.46
110,0.3
111,0.6
112,0.08
113,0.04
114,0.16
115,0.28
116,0.16
117,0.66
118,0.24
119,0.68
120,0.54
121,0.74
122,0.12
123,0.1
124,0.14
125,0.68
126,0.42
127,0.68
128,0.16
129,0.58
130,0.1
131,0.2
132,0.76
133,0.5
134,0.24
135,0.7
136,0.02
137,0.28
138,0.86
139,0.52
140,0.26
141,0.76
142,0.08
143,0.02
144,0.36
145,0.12
146,0.22
147,0.5
148,0.34
149,0.4
150,0.06
151,0.46
152,0.26
153,0.58
154,0.14
155,0.32
156,0.78
157,0.9
158,0.54
159,0.3
160,0.74
161,0.58
162,0.06
163,0.2
164,0.66
165,0.3
166,0.8
167,0.26
168,0.4
169,0.62
170,0.56
171,0.4
172,0.1
173,0.22
174,0.52
175,0.62
176,0.42
177,0.3
178,0.56
179,0.72
180,0.46
181,0.7
182,0.78
183,0.16
184,0.24
185,0.54
186,0.7
187,0.68
188,0.48
189,0.64
190,0.22
191,0.68
192,0.4
193,0.22
194,0.38
195,0.24
196,0.28
197,0.08
198,0.3
199,0.1
200,0.24
201,0.38
202,0.7
203,0.62
204,0.4
205,0.08
206,0.1
207,0.4
208,0.5
209,0.56
210,0.24
211,0.22
212,0.24
213,0.4
214,0.48
215,0.74
216,0.54
217,0.36
218,0.26
219,0.14
220,0.62
221,0.44
222,0.56
223,0.26
224,0.7
225,0.44
226,0.32
227,0.32
228,0.66
229,0.68
230,0.8
231,0.36
232,0.26
233,0.16
234,0.56
235,0.18
236,0.36
237,0.3
238,0.78
239,0.74
240,0.56
241,0.84
242,0.38
243,0.36
244,0.34
245,0.04
246,0.6
247,0.2
248,0.74
249,0.2
250,0.3
251,0.74
252,0.2
253,0.8
254,0.88
255,0.44
256,0.72
257,0.22
258,0.56
259,0.86
260,0.44
261,0.24
262,0.56
263,0.72
264,0.16
265,0.28
266,0.6
267,0.3
268,0.3
269,0.84
270,0.7
271,0.38
272,0.1
273,0.22
274,0.08
275,0.3
276,0.52
277,0.28
278,0.22
279,0.88
280,0.24
281,0.28
282,0.68
283,0.28
284,0.64
285,0.6
286,0.64
287,0.2
288,0.76
289,0.22
290,0.58
291,0.34
292,0.04
293,0.64
294,0.38
295,0.66
296,0.74
297,0.24
298,0.32
299,0.52
300,0.56
301,0.16
302,0.02
303,0.16
304,0.76
305,0.92
306,0.78
307,0.54
308,0.1
309,0.24
310,0.4
311,0.16
312,0.52
313,0.48
314,0.22
315,0.38
316,0.84
317,0.52
318,0.24
319,0.12
320,0.76
321,0.94
322,0.72
323,0.58
324,0.46
325,0.28
326,0.06
327,0.54
328,0.44
329,0.68
330,0.38
331,0.5
332,0.68
333,0.4
334,0.2
335,0.14
336,0.32
337,0.6
338,0.68
339,0.26
340,0.84
341,0.5
342,0.54
343,0.54
344,0.22
345,0.22
346,0.5
347,0.22
348,0.58
349,0.12
350,0.2
351,0.62
352,0.4
353,0.1
354,0.54
355,0.64
356,0.34
357,0.38
358,0.42
359,0.68
360,0.56
361,0.94
362,0.9
363,0.32
364,0.2
365,0.3
366,0.16
367,0.68
368,0.2
369,0.5
370,0.2
371,0.38
372,0.56
373,0.2
374,0.14
375,0.52
376,0.4
377,0.08
378,0.58
379,0.52
380,0.24
381,0.78
382,0.9
383,0.82
384,0.52
385,0.06
386,0.28
387,0.04
388,0.68
389,0.32
390,0.44
391,0.46
392,0.3
393,0.16
394,0.9
395,0.42
396,0.42
397,0.28
398,0.1
399,0.16
400,0.8
401,0.62
402,0.3
403,0.84
